filename,Humor,Sarcastic,Offensive,Motivational,Overall
6578.jpg,B,C,B,A,C
6579.jpg,B,C,A,B,D
6580.jpg,B,A,A,A,D
6581.jpg,B,B,A,A,D
6582.jpg,B,C,A,A,D
6583.jpg,B,B,A,A,D
6584.jpg,B,C,B,A,C
6585.jpg,B,C,B,A,B
6586.jpg,B,B,A,A,D
6587.jpg,B,B,A,A,D
6588.jpg,B,B,A,A,C
6589.jpg,B,B,A,B,D
6590.jpg,B,C,A,A,D
6591.jpg,B,B,A,A,D
6592.jpg,B,B,A,A,D
6593.jpg,B,B,A,A,D
6594.jpg,B,C,B,A,D
6595.jpg,B,B,A,A,C
6596.jpg,B,B,A,A,D
6597.jpg,B,B,A,A,C
6598.jpg,B,B,A,A,D
6599.jpg,B,C,B,A,C
6600.jpg,B,C,A,A,D
6601.jpg,B,C,B,A,C
6602.jpg,B,B,A,A,D
6603.jpg,B,B,A,A,D
6604.jpg,B,C,A,A,D
6605.jpg,B,B,A,A,D
6607.jpg,B,B,A,A,D
6608.jpg,B,B,A,A,D
6609.jpg,B,B,A,A,D
6610.jpg,B,B,A,A,D
6611.jpg,B,B,A,A,D
6612.jpg,B,C,B,A,C
6613.jpg,B,B,A,A,C
6614.jpg,B,C,A,A,D
6615.jpg,B,B,A,A,C
6616.jpg,B,C,A,A,D
6617.jpg,B,B,A,A,D
6618.jpg,B,C,A,A,D
6619.jpg,B,B,A,A,D
6620.jpg,B,B,A,A,C
6621.jpg,B,B,A,A,D
6622.jpg,B,B,B,A,C
6623.jpg,B,B,A,A,D
6624.jpg,B,C,A,A,D
6625.jpg,B,A,A,A,D
6626.jpg,A,A,A,B,D
6627.jpg,B,B,A,A,D
6628.jpg,B,C,A,A,D
6629.jpg,B,C,A,A,D
6630.jpg,B,B,A,A,D
6631.jpg,B,C,A,A,C
6634.jpg,B,B,A,A,D
6635.jpg,B,B,A,A,C
6636.jpg,B,B,B,A,B
6637.jpg,B,B,A,A,D
6638.jpg,B,B,A,A,D
6639.jpg,B,B,A,A,D
6640.jpg,B,B,A,A,D
6641.jpg,B,B,A,A,D
6642.jpg,B,B,A,A,D
6643.jpg,B,C,B,A,C
6644.jpg,B,C,B,A,B
6645.jpg,B,B,A,A,C
6646.jpg,B,B,A,A,D
6647.jpg,B,B,A,A,C
6648.jpg,B,B,A,A,C
6649.jpg,B,B,A,A,C
6650.jpg,B,B,A,A,C
6651.jpg,B,B,A,A,D
6652.jpg,B,B,A,A,D
6653.jpg,B,C,A,A,C
6654.jpg,B,B,A,A,D
6655.jpg,B,C,B,A,C
6656.jpg,B,B,A,A,D
6657.jpg,B,B,A,A,C
6658.jpg,B,B,A,A,D
6659.jpg,B,C,A,A,D
6660.jpg,B,B,A,A,C
6661.jpg,B,B,A,A,D
6662.jpg,B,C,B,A,C
6663.jpg,B,B,A,A,D
6664.jpg,B,C,A,A,C
6665.jpg,B,B,A,A,C
6666.jpg,B,B,A,A,D
6667.jpg,B,B,A,A,C
6668.jpg,B,C,A,A,D
6669.jpg,B,B,A,A,D
6670.jpg,B,C,B,A,C
6671.jpg,B,B,A,A,D
6672.jpg,B,B,A,B,D
6673.jpg,B,B,A,A,C
6674.jpg,B,B,A,A,C
6675.jpg,B,B,A,A,C
6676.jpg,B,B,A,A,D
6677.jpg,B,C,A,A,D
6678.jpg,B,B,A,A,C
6679.jpg,B,B,A,A,C
6680.jpg,B,B,A,A,D
6681.jpg,B,C,A,A,C
6682.jpg,B,B,A,A,D
6683.jpg,B,B,A,B,D
6684.jpg,B,C,B,A,C
6685.jpg,B,B,A,B,D
6686.jpg,B,B,A,A,D
6687.jpg,B,B,A,A,C
6688.jpg,B,B,A,A,D
6689.jpg,B,B,A,B,D
6690.jpg,B,C,A,A,D
6691.jpg,B,B,A,A,C
6692.jpg,B,B,A,A,D
6693.jpg,B,B,A,A,C
6694.jpg,B,C,A,A,C
6695.jpg,B,B,A,A,C
6696.jpg,B,B,A,A,D
6697.jpg,B,B,B,A,C
6698.jpg,B,B,A,A,D
6699.jpg,B,B,A,A,D
6700.jpg,B,B,A,A,C
6701.jpg,B,B,B,B,C
6702.jpg,B,B,A,A,D
6703.jpg,B,C,A,A,D
6704.jpg,B,B,A,A,D
6705.jpg,B,B,A,A,C
6706.jpg,B,B,A,A,D
6707.jpg,B,C,A,A,D
6708.jpg,B,A,A,A,C
6709.jpg,B,C,A,A,C
6711.jpg,B,B,A,A,D
6712.jpg,B,C,B,A,C
6713.jpg,B,B,A,A,D
6714.jpg,B,B,A,A,D
6715.jpg,B,B,A,A,D
6716.jpg,B,B,A,A,D
6717.jpg,B,B,A,A,D
6718.jpg,B,B,A,A,D
6719.jpg,B,C,A,A,C
6720.jpg,B,B,A,A,C
6721.jpg,B,C,A,A,D
6722.jpg,B,B,A,A,D
6723.jpg,A,A,A,A,B
6724.jpg,B,B,A,A,D
6725.jpg,B,C,A,A,D
6726.jpg,B,B,A,A,D
6727.jpg,B,B,A,A,D
6728.jpg,B,B,A,B,D
6729.jpg,B,B,A,A,C
6730.jpg,B,B,A,A,D
6731.jpg,B,B,A,A,D
6732.jpg,B,B,A,A,C
6733.jpg,B,C,B,A,C
6734.jpg,B,B,A,A,C
6735.jpg,B,B,A,A,D
6736.jpg,B,C,A,A,C
6737.jpg,B,B,A,A,D
6739.jpg,B,B,B,A,D
6741.jpg,B,C,A,A,C
6742.jpg,B,C,A,A,D
6743.jpg,B,B,B,A,C
6744.jpg,B,B,A,A,D
6745.jpg,B,B,A,A,D
6746.jpg,B,C,A,A,D
6747.jpg,B,B,A,A,D
6748.jpg,C,C,A,A,D
6749.jpg,B,B,A,A,D
6750.jpg,B,B,A,A,C
6751.jpg,B,C,A,A,C
6752.jpg,B,B,A,A,C
6753.jpg,B,A,A,A,D
6754.jpg,B,B,A,A,D
6755.jpg,B,B,A,A,C
6756.jpg,B,C,A,B,D
6757.jpg,B,C,A,A,D
6758.jpg,B,B,A,B,D
6759.jpg,B,B,A,A,D
6760.jpg,B,B,A,A,D
6761.jpg,B,C,A,A,C
6762.jpg,B,B,A,B,D
6763.jpg,B,C,B,A,C
6764.jpg,B,A,A,B,D
6765.jpg,B,B,A,A,D
6766.jpg,B,B,A,A,D
6767.jpg,B,B,A,A,D
6768.jpg,B,B,A,A,D
6770.jpg,B,B,A,A,C
6771.jpg,B,C,B,A,C
6772.jpg,B,A,A,B,D
6773.jpg,B,B,A,A,D
