filename,Humor,Sarcastic,Offensive,Motivational,Overall
6578.jpg,B,B,B,A,D
6579.jpg,B,C,A,A,D
6580.jpg,B,B,B,A,D
6581.jpg,B,B,A,A,D
6582.jpg,B,B,A,A,C
6583.jpg,B,B,A,A,D
6584.jpg,B,C,B,A,C
6585.jpg,B,B,B,A,B
6586.jpg,B,B,A,A,D
6587.jpg,B,B,A,A,D
6588.jpg,B,B,A,A,C
6589.jpg,A,A,A,B,D
6590.jpg,B,B,A,A,D
6591.jpg,B,B,A,A,D
6592.jpg,B,B,A,A,D
6593.jpg,B,B,A,A,C
6594.jpg,B,B,A,A,D
6595.jpg,B,B,A,A,D
6596.jpg,B,B,A,A,D
6597.jpg,B,B,A,A,C
6598.jpg,B,C,A,A,D
6599.jpg,B,B,B,A,C
6600.jpg,B,B,A,A,C
6601.jpg,B,B,B,A,C
6602.jpg,B,B,A,A,D
6603.jpg,B,B,A,A,D
6604.jpg,B,B,A,A,C
6605.jpg,B,B,A,A,C
6607.jpg,B,B,A,A,D
6608.jpg,B,B,A,A,C
6609.jpg,B,B,A,A,D
6610.jpg,B,B,A,A,C
6611.jpg,B,B,A,A,D
6612.jpg,B,C,B,A,C
6613.jpg,B,B,A,A,D
6614.jpg,B,B,A,A,D
6615.jpg,B,B,B,A,D
6616.jpg,B,C,A,A,D
6617.jpg,B,B,A,A,D
6618.jpg,B,B,A,A,D
6619.jpg,B,B,A,A,D
6620.jpg,B,C,A,A,D
6621.jpg,B,B,A,A,C
6622.jpg,B,B,B,A,C
6623.jpg,B,B,A,A,C
6624.jpg,B,B,B,A,C
6625.jpg,A,A,A,A,C
6626.jpg,A,A,A,B,D
6627.jpg,B,B,A,A,D
6628.jpg,B,B,A,A,D
6629.jpg,B,B,A,A,D
6630.jpg,B,B,A,A,D
6631.jpg,B,B,A,A,D
6634.jpg,B,B,A,A,D
6635.jpg,B,B,A,A,C
6636.jpg,B,B,B,A,B
6637.jpg,B,B,A,A,C
6638.jpg,B,B,A,A,D
6639.jpg,B,B,A,A,D
6640.jpg,B,B,A,A,C
6641.jpg,B,B,A,B,D
6642.jpg,B,B,A,A,D
6643.jpg,B,B,B,A,C
6644.jpg,B,C,B,A,B
6645.jpg,B,B,A,A,D
6646.jpg,B,B,A,A,D
6647.jpg,B,B,A,A,C
6648.jpg,B,B,A,A,C
6649.jpg,B,B,B,A,C
6650.jpg,B,B,B,A,B
6651.jpg,B,B,A,A,D
6652.jpg,B,A,A,A,C
6653.jpg,B,B,A,A,C
6654.jpg,B,B,A,A,D
6655.jpg,B,C,B,A,D
6656.jpg,B,B,A,A,D
6657.jpg,B,B,A,A,D
6658.jpg,B,B,A,A,C
6659.jpg,B,B,A,A,D
